0,22,0,0
0.5,22,0,0
1,22,0.91,0
1.5,22,1.29,0
2,22,1.58,0
2.5,22,1.82,0
3,22,2.03,0
3.5,22,2.22,0
4,22,2.4,0
4.5,22,2.56,0
5,22,2.71,0
5.5,22,2.85,0
6,22,2.99,0
6.5,22,3.12,0
7,22,3.24,0
7.5,22,3.36,0
8,22,3.48,0
8.5,22,3.59,0
9,22,3.7,0
9.5,22,3.8,0
10,22,3.9,0
10.5,22,4,0
11,22,4.1,0
11.5,22,4.19,0
12,22,4.28,0
12.5,22,4.37,0
13,22,4.46,0
13.5,22,4.55,0
14,22,4.63,0
14.5,22,4.71,0
15,22,4.79,0
15.5,22,4.87,0
16,22,4.95,0
16.5,22,5.03,0
17,22,5.11,0
17.5,22,5.18,0
18,22,5.25,0
18.5,22,5.32,0
19,22,5.39,0
19.5,22,5.46,0
20,22,5.53,0
20.5,22,5.6,0
21,22,5.67,0
21.5,22,5.74,0
22,22,5.81,0
22.5,22,5.87,0
23,22,5.93,0
23.5,22,5.99,0
24,22,6.05,0
24.5,22,6.11,0
25,22,6.17,0
25.5,22,6.23,0
26,22,6.29,0
26.5,22,6.35,0
27,22,6.41,0
27.5,22,6.47,0
28,22,6.53,0
28.5,22,6.59,0
29,22,6.65,0
29.5,22,6.71,0
30,22,6.76,0
30.5,22,6.81,0
31,22,6.86,0
31.5,22,6.91,0
32,22,6.96,0
32.5,22,7.01,0
33,22,7.06,0
33.5,22,7.11,0
34,22,7.16,0
34.5,22,7.21,0
35,22,7.26,0
35.5,22,7.31,0
36,22,7.36,0
36.5,22,7.41,0
37,22,7.46,0
37.5,22,7.51,0
38,22,7.56,0
38.5,22,7.61,0
39,22,7.66,0
39.5,22,7.71,0
40,22,7.76,0
40.5,22,7.81,0
41,22,7.86,0
41.5,22,7.91,0
42,22,7.96,0
42.5,22,8,0
43,22,8.04,0
43.5,22,8.08,0
44,22,8.12,0
44.5,22,8.16,0
45,22,8.2,0
45.5,22,8.24,0
46,22,8.28,0
